NAME,LATITUDE,LONGITUDE,ALTITUDE,DATE,SNOW,LEVEL
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2019,45.9,high
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2020,26.7,high
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2021,32.9,high
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2022,27.9,high
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2022,27.9,high
"MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,2018,40,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2019,32.6,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2020,12.1,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2021,30.2,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2022,16,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2022,16,high
"ST PARIS 2 NE, OH US",40.1391,-83.9288,377.6,2018,14.6,high
"HIRAM, OH US",41.30718,-81.14759,374.9,2018,41.5,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2019,41.5,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2020,42.7,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2021,32.5,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2022,54.3,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2022,54.3,high
"AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,2018,47.3,high
"CENTERBURG 2 SE, OH US",40.2913,-82.6546,367.3,2019,10.1,high
"CENTERBURG 2 SE, OH US",40.2913,-82.6546,367.3,2021,27.6,high
"MOUNT GILEAD 4.9 ESE, OH US",40.514267,-82.755614,361.8,2020,32.4,high
"MOUNT GILEAD 4.9 ESE, OH US",40.514267,-82.755614,361.8,2021,34,high
"MOUNT GILEAD 4.9 ESE, OH US",40.514267,-82.755614,361.8,2018,40.2,high
"ASHLAND 3.9 SW, OH US",40.8326,-82.3763,360,2022,18.6,high
"GALION WATER WORKS, OH US",40.7231,-82.7999,356.6,2019,24.5,high
"GALION WATER WORKS, OH US",40.7231,-82.7999,356.6,2018,26.7,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2019,50.6,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2020,65.5,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2021,37.5,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2022,58.6,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2022,58.6,high
"YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,2018,73.1,high
"CHARDON, OH US",41.58732,-81.19138,344.4,2019,74.6,high
"CHARDON, OH US",41.58732,-81.19138,344.4,2020,104.9,high
"CHARDON, OH US",41.58732,-81.19138,344.4,2021,55.5,high
"CHARDON, OH US",41.58732,-81.19138,344.4,2022,100.2,high
"CHARDON, OH US",41.58732,-81.19138,344.4,2018,103.3,high
"BRUNSWICK 0.5 NE, OH US",41.2498,-81.8133,342,2019,52.4,high
"BRUNSWICK 0.5 NE, OH US",41.2498,-81.8133,342,2020,71,high
"BRUNSWICK 0.5 NE, OH US",41.2498,-81.8133,342,2021,40.4,high
"BRUNSWICK 0.5 NE, OH US",41.2498,-81.8133,342,2022,58.9,high
"BRUNSWICK 0.5 NE, OH US",41.2498,-81.8133,342,2018,56.2,high
"LONDON FISH HATCHERY, OH US",39.8972,-83.5096,341.4,2022,10.6,high
"LONDON FISH HATCHERY, OH US",39.8972,-83.5096,341.4,2022,10.6,high
"LONDON FISH HATCHERY, OH US",39.8972,-83.5096,341.4,2018,16,high
"GRANVILLE 4.0 N, OH US",40.1282,-82.5158,339.9,2021,17,high
"GRANVILLE 4.0 N, OH US",40.1282,-82.5158,339.9,2022,19.5,high
"RAVENNA 2 S, OH US",41.13664,-81.28437,337.4,2019,39.9,high
"RAVENNA 2 S, OH US",41.13664,-81.28437,337.4,2020,40.9,high
"RAVENNA 2 S, OH US",41.13664,-81.28437,337.4,2021,21.9,high
"RAVENNA 2 S, OH US",41.13664,-81.28437,337.4,2022,55.4,high
"RAVENNA 2 S, OH US",41.13664,-81.28437,337.4,2018,47.7,high
